"","URL","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE.OR.PROVINCE","ZIP.OR.POSTAL.CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","URL..SEE.https...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","Description","is_active"
"1","https://www.redfin.com/IA/Ames/1101-Johnson-St-50010/home/128816416","MLS Listing",NA,"Townhouse","1101 Johnson St","Ames","IA",50010,239000,3,2,"Ames",886,2318,1975,22,270,255,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1101-Johnson-St-50010/home/128816416","CIBOR","64342","N","Y",42.0504141,-93.6261606,"Total finished square footage 1748. This property has been thoughtfully updated and is ready for a new owner to love. The addition of an association clubhouse and pool amplifies its allure, offering residents a sense of community. It is a North Park Villa end unit, which means only one common wall. Located close to the mall, restaurants, and more. Backing to the community courtyard, there is a beautiful view from your upper level deck. Garbage, snow removal, exterior maintenance, deck maintenance, sewer, water, trash, and lawn care are all included by the association.  ",1
"2","https://www.redfin.com/IA/Ames/1221-Scott-Ave-50014/home/128984379","MLS Listing",NA,"Single Family Residential","1221 Scott Ave","Ames","IA",50014,270000,3,2,"Ames",1809,12688,1938,4,149,NA,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1221-Scott-Ave-50014/home/128984379","DMMLS","693477","N","Y",42.0341468,-93.6610168,"This solidly built, 3 bedroom, 2 bath, 1 1/2 story home, is located close to ISU. Its curb appeal is enhanced by the newer roof, siding, fascia, soffit gutters (with Leaf X), and shutters all installed in 2015, updated Pella windows, and a charming deck with built-in seating. Down the steps from the front deck is the two-car, detached garage which leads to the retaining wall that was professionally installed and landscaped in 2019, with numerous perennials all on nearly a 1/3 acre lot. Step inside the front door and enjoy the beautiful, original hardwood floors that span the living room, large family room and one of the main floor bedrooms. The family room could be used as a primary bedroom, and is right next to the full bathroom. The informal dining room opens to both the front and back decks and the second main floor bedroom. The spacious upstairs bedroom has newer carpet and two, nice-sized closets. The upstairs has a full bath with a large, jetted tub, a sitting room/flex space with hardwood floors, a large walk-in closet, as well as a linen closet! The clean basement is partially finished for the potential of a non-conforming bedroom or another living area. The unfinished portion of the basement houses the updated tankless water heater (2019), the furnace w/ Aprilaire system, utility sink, stackable washer and dryer and plenty of room for storage. Don't miss out on this wonderful home and schedule your personal showing today! Open House Sunday, April 21, from 12-2 pm.  ",1
"3","https://www.redfin.com/IA/Ames/1316-Illinois-Ave-50014/home/128834801","For-Sale-by-Owner Listing",NA,"Single Family Residential","1316 Illinois Ave","Ames","IA",50014,284900,4,3,"Ames",1095,9000,1986,262,260,NA,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1316-Illinois-Ave-50014/home/128834801","Fizber.com","11498238","N","Y",42.0351774,-93.6848326,"Description: ",1
"4","https://www.redfin.com/IA/Ames/1402-Ohio-Ave-50014/home/182275614","MLS Listing",NA,"Single Family Residential","1402 Ohio Ave","Ames","IA",50014,615000,4,3,"Ames",1851,14959,2022,476,332,13,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1402-Ohio-Ave-50014/home/182275614","CIBOR","60907","N","Y",42.035157,-93.695366,"Tray Ceilings in Family Room and Primary Bedroom. Large Tiled Primary Bath. Quartz Countertops. Walk out Basement with Pond View. Great open floorplan.  ",1
"5","https://www.redfin.com/IA/Ames/1405-Baltimore-Dr-50010/home/188647495","MLS Listing",NA,"Vacant Land","1405 Baltimore Dr","Ames","IA",50010,200000,0,NA,"Ames",NA,40337,NA,154,NA,NA,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1405-Baltimore-Dr-50010/home/188647495","DMMLS","685733","N","Y",42.0358497,-93.586094,"Prime Medical/Professional location on 13th Street!  For sale or lease build suit. In an area of several medical offices!  13,300 average vehicles per day. Convenient access to the hospital and other medical plazas as well as Interstate 35 and HWY 30. ",1
"6","https://www.redfin.com/IA/Ames/1423-Ada-Hayden-Rd-50010/home/143630414","MLS Listing",NA,"Single Family Residential","1423 Ada Hayden Rd","Ames","IA",50010,809000,5,3.5,"Ames",2285,14087,2024,11,354,30,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1423-Ada-Hayden-Rd-50010/home/143630414","DMMLS","693095","N","Y",42.076302,-93.63001,"Welcome to your dream home in Quarry Estates by Clark Thielen Builders! This new construction boasts almost 3700 sq ft of quality living space. The main floor includes a spacious living room with a double-sided stone fireplace, an open kitchen with quartz countertops, pantry, dining room, large primary suite and ensuite with tiled shower, walk-in closet, two more bedrooms, full bath, half bath, laundry and mudroom. Go to the lower level to find a large family room with a wet bar, two additional bedrooms, a full bath and plenty of storage. The heated oversized 3-car garage, covered deck, and front porch overlooking green space add to the allure. Scheduled for completion by May 31, 2024. Don't wait—schedule a viewing now and make this your forever home! ",1
"7","https://www.redfin.com/IA/Ames/1513-Ohio-Ave-50014/home/182275619","MLS Listing",NA,"Single Family Residential","1513 Ohio St","Ames","IA",50014,575000,4,3,"Ames",1701,13413,2022,439,338,13,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1513-Ohio-Ave-50014/home/182275619","CIBOR","61503","N","Y",42.0364185,-93.6962805,"One Years Builder Warranty. 10 Year Structural Warranty. Open Floor Plan with Main Floor laundry  Tile Bath  Tray Ceiling in Primary. Walk out Ranch ",1
"8","https://www.redfin.com/IA/Ames/1525-Marston-Ave-50010/home/128814534","MLS Listing",NA,"Single Family Residential","1525 Marston Ave","Ames","IA",50010,235000,2,1,"Ames",1305,9600,1956,8,180,NA,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1525-Marston-Ave-50010/home/128814534","CIBOR","64462","N","Y",42.037872,-93.6238779,"Do you love that quirky, retro style feel of 1950's era homes? If so, you've got to check out this Mid Century Modern ranch. All of the expensive items have been taken care of including new roof, siding, gutters, windows and HVAC. The inside is vintage and ready for your personal touch with original wood trim, built in dining hutch, pink tiled bathroom, and charming den with brick fireplace. Other features include an open living room, two spacious bedrooms with hardwood floors, a large fenced in backyard with patio, attached garage, and a partially finished basement with lots of potential. Schedule your private tour to see this hidden gem. Tag sale in process so please excuse our mess.  ",1
"9","https://www.redfin.com/IA/Ames/1561-Reagan-Dr-50010/home/128977915","MLS Listing",NA,"Single Family Residential","1561 Reagan Dr","Ames","IA",50010,465000,5,3.5,"Ames",2238,11076,1995,201,208,NA,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1561-Reagan-Dr-50010/home/128977915","CIBOR","63235","N","Y",42.0512621,-93.6328236,"Move-in ready 2 story with plenty of elbow room backing to neighborhood greenspace. Living room and  family room with newer Pergo flooring and gas fireplace. Open kitchen with granite countertops and breakfast nook plus formal dining room. 4 upstairs bedrooms, 5th bedroom in finished basement. Large primary suite with walk-in closet and spacious bathroom including dual vanity, walk-in shower and jetted bathtub. Main floor laundry. Updated deck overlooking greenbelt leading to neighborhood park. 3 car attached garage.  ",1
"10","https://www.redfin.com/IA/Ames/1615-Crestwood-Cir-50010/home/128950437","MLS Listing",NA,"Single Family Residential","1615 Crestwood Cir","Ames","IA",50010,300000,4,2.5,"Ames",1571,8414,1957,4,191,NA,"Active",NA,NA,"https://www.redfin.com/IA/Ames/1615-Crestwood-Cir-50010/home/128950437","DMMLS","693603","N","Y",42.039219,-93.6062089,"Take a look at this updated mid-century modern on a cul-de-sac in Ames before it's too late!  Updates include a new roof just installed in Nov 23, exterior paint in the summer of 22, kitchen tile  &  basement LVP floors in 21, all bathrooms remodeled in 2020, HVAC  &  egress window in 2019,  &  main level LVP floors  &  water heater in 2018! The great curb appeal welcomes you into this 4 bedroom, 3 bathroom ranch complete with a 4 season sunroom. There is a nice living room with a gas fireplace just off the front entry that opens up into a fantastic 4 season sunroom that provides plenty of natural light. A nice dining area with bonus storage cabinets and a walk in pantry flow into the kitchen, which has a new wall oven, cooktop with exhaust hood, lots of cabinets  &  an updated sink. Down the hall, the primary bedroom has an updated en suite half bath, 2 more spacious bedrooms  &  another updated full bath. In the basement you'll find a newer sauna to sweat away all your stresses, a 4th bedroom with lots of space, yet another updated 3/4 bath  &  plenty of storage as well. The secluded backyard has a patio with fire pit, garden area with compost barrel  &  a rain barrel. There will be an open house on Sunday, April 21st from 1-3 or schedule your private tour today! ",1
